Year,Title,Theater,Day,Date,Time,Saw with April
2012,We Bought a Zoo,Baxter Avenue,Sunday,1/8/12,1:15 PM,N
2012,Extremely Loud and Incredibly Close,Baxter Avenue,Sunday,1/22/12,1:15 PM,N
2012,Tinker Tailor Soldier Spy,Baxter Avenue,Saturday,1/28/12,4:30 PM,N
2012,The Artist,Baxter Avenue,Monday,1/30/12,7:30 PM,N
2012,The Grey,Tinseltown,Friday,2/10/12,11:30 AM,N
2012,Star Wars Episode I: The Phantom Menace,Tinseltown,Friday,2/10/12,3:10 PM,N
2012,The Secret World of Arrietty,Baxter Avenue,Friday,2/17/12,7:35 PM,N
2012,Ghost Rider 2,Tinseltown,Sunday,2/26/12,11:30 AM,N
2012,This Means War,Tinseltown,Sunday,2/26/12,1:25 PM,N
2012,The Lorax,Tinseltown,Sunday,3/4/12,11:30 AM,N
2012,Project X,Tinseltown,Sunday,3/4/12,1:10 PM,N
2012,John Carter,Baxter Avenue,Monday,3/12/12,7:20 PM,N
2012,Hunger Games,Baxter Avenue,Tuesday,3/27/12,1:15 PM,N
2012,21 Jump Street,Baxter Avenue,Saturday,3/31/12,1:30 PM,N
2012,Jeff Who Lives at Home,Baxter Avenue,Saturday,3/31/12,3:25 PM,N
2012,Wrath of the Titans,Tinseltown,Sunday,4/1/12,3:25 PM,N
2012,The Raid,Village 8,Friday,4/13/12,9:55 PM,N
2012,Jiro Dreams of Sushi,Village 8,Saturday,4/14/12,1:20 PM,N
2012,Journey 2 the Center of the Earth,Village 8,Saturday,4/14/12,3:15 PM,N
2012,Bully,Baxter Avenue,Friday,4/27/12,4:00 PM,N
2012,The Five Year Engagement,Baxter Avenue,Sunday,4/29/12,1:25 PM,N
2012,The Avengers,Baxter Avenue,Friday,5/4/12,6:30 PM,N
2012,The Avengers,Riverfalls 12,Sunday,5/6/12,2:45 PM,N
2012,Pirates! Band of Misfits,Tinseltown,Wednesday,5/9/12,1:30 PM,N
2012,The Raven,Tinseltown,Sunday,5/13/12,12:05 PM,N
2012,Dark Shadows,Baxter Avenue,Sunday,5/13/12,5:20 PM,N
2012,The Avengers,Baxter Avenue,Monday,5/21/12,7:40 PM,N
2012,Best Exotic Marigold Hotel,Baxter Avenue,Monday,5/28/12,1:25 PM,N
2012,Men in Black 3,Baxter Avenue,Monday,5/28/12,5:20 PM,N
2012,The Dictator,Baxter Avenue,Saturday,6/2/12,4:25 PM,N
2012,Snow White and the Huntsmen,Baxter Avenue,Saturday,6/2/12,4:20 PM,N
2012,Madagascar 3: Europe's Most Wanted,Tinseltown,Tuesday,6/12/12,11:20 AM,N
2012,Prometheus,Tinseltown,Tuesday,6/12/12,1:00 PM,N
2012,Abe Lincoln: Vampire Hunter,Baxter Avenue,Saturday,6/23/12,12:45 PM,N
2012,Rock of Ages,Baxter Avenue,Sunday,6/24/12,1:30 PM,N
2012,Moonrise Kingdom,Stonybrook,Saturday,6/30/12,3:15 PM,N
2012,End of the World,Stonybrook,Saturday,6/30/12,1:20 PM,N
2012,Brave,Tinseltown,Monday,7/2/12,7:00 PM,N
2012,Amazing Spiderman,Baxter Avenue,Saturday,7/7/12,1:20 PM,N
2012,Amazing Spiderman,Baxter Avenue,Saturday,7/7/12,10:15 PM,N
2012,Ted,Baxter Avenue,Sunday,7/22/12,3:05 PM,N
2012,The Dark Knight Rises,Tinseltown,Monday,7/23/12,11:25 AM,N
2012,The Watch,Tinseltown,Sunday,8/5/12,4:05 PM,N
2012,Total Recall (2012),Tinseltown,Monday,8/6/12,12:10 PM,N
2012,The Expendables 2,Baxter Avenue,Saturday,8/18/12,12:50 PM,N
2012,Paranorman,Stonybrook,Thursday,9/6/12,6:45 PM,N
